X,Y
584454.2632,4511427.32
585039.7507,4513064.153
585431.0592,4510760.952
587273.3177,4512035.199
587003.6564,4512100.195
584289.5897,4511645.268
586883.3579,4511386.795
584291.1045,4511630.852
584792.0433,4513170.669
585324.4874,4513283.145
585313.4566,4512775.202
584795.3677,4513182.587
585304.993,4512777.103
584796.8806,4513183.159
584843.7894,4512102.009
585318.2038,4512758.825
584979.3801,4513506.772
584976.7213,4512075.778
585779.8061,4513749.149
586358.688,4513305.681
585993.7662,4513604.637
585975.0988,4513525.816
585329.1465,4514263.082
585567.3744,4514886.559
586993.3204,4513468.764
585278.8291,4509107.973
584882.6789,4508484.151
584678.767,4508884.605
583970.4499,4508633.414
584225.3493,4508396.499
585462.3774,4509047.692
585462.3774,4509047.692
587452.1085,4513574.311
586531.2616,4515194.309
586313.8209,4516269.36
583810.4645,4509284.518
583815.5375,4509284.02
587973.704,4517404.593
585787.5842,4515350.075
585784.4209,4515339.047
586416.8997,4514407.596
586428.6742,4514432.824
589649.3654,4519012.817
590201.1561,4516939.474
588857.3628,4516244.739
586054.4556,4516007.21
588161.0155,4519659.286
587553.6304,4517042.666
587543.7477,4517050.764
588935.1791,4518873.736
587538.4056,4517053.033
587535.3435,4517048
588151.8481,4514333.794
588193.9196,4514486.287
584891.4984,4512918.79
584885.7742,4512917.392
585701.4727,4511896.611
585699.092,4511905.354
585870.8702,4511951.752
584887.1811,4512919.85
584888.9561,4512919.649
588318.1193,4514425.594
585745.7065,4507830.503
585800.6587,4507819.37
583961.0239,4510710.845
583961.0239,4510710.845
585591.0602,4508033.33
585591.137,4508033.997
585800.6587,4507819.37
589431.8976,4522831.343
589511.0543,4522908.244
587933.1773,4519336.266
586267.8342,4510393.392
587763.5407,4512615.868
586225.8047,4510355.044
586483.9125,4509996.674
586466.031,4509958.607
586707.7425,4510974.954
590703.9077,4524777.389
590424.6358,4524402.688
590339.9539,4524434.959
590331.6625,4524423.755
590078.5432,4523754.503
589331.5478,4520561.212
590620.8787,4523371.107
590620.8787,4523371.107
590620.8787,4523371.107
590620.8787,4523371.107
589092.1992,4522785.49
588837.9882,4522332.774
589027.7496,4522677.018
588792.6238,4522669.745
590620.8787,4523371.107
590620.8787,4523371.107
589104.9648,4522705.706
591022.9389,4524140.25
590606.3077,4523335.733
590606.3077,4523335.733
589948.6859,4523273.953
589324.2765,4520674.369
588657.5932,4521276.976
589136.8594,4519712.849
588299.669,4520393.372
588303.1479,4520384.531
588304.1503,4520371.22
587383.1617,4517967.255
588246.7032,4519532.298
587617.5962,4518885.312
588832.4303,4521112.539
588223.4222,4519504.264
588213.8412,4519529.685
588214.5435,4519470.85
589109.5836,4517707.412
589267.6679,4517610.506
587627.5455,4518899.864
588972.4131,4517679.114
587654.2427,4518853.55
587626.0321,4519027.523
588953.3952,4517506.797
588285.24,4518141.621
588286.0834,4518141.631
586739.7554,4517356.155
589814.3512,4516220.434
